Name,Abkürzung,Typ,Abteilung,Fachbereich,Link,Beschreibung,Ansprechpartner*In,Aktualisiert
Malteser Migranten Medizin,,Verein,,,http://www.malteser-dgs-muenchen.de/mmm/migranten_medizin.htm,,migranten-medizin-muenchen@malteser.org,
Mit Sicherheit verliebt,,Studentische Initiative,,,https://www.fachschaft-medizin.de/msv-mit-sicherheit-verliebt/,,msvmuenchen@gmail.com,
IPPNW Studierendengruppe,,Studentische Initiative,,,https://www.ippnw.de/der-verein/studierende/studierendengruppen/artikel/de/muenchen.html,,ippnw.muenchen@gmail.com,
Refugee Law Clinic,,Verein,,,http://rlcm.de,,mitglieder@rlcm.de,
UAEM,,Studentische Initiative,,,https://www.fachschaft-medizin.de/uaem/,,muenchen@uaem-germany.de,
Migramed,,Verein,,,https://www.migramedmuenchen.de/,,migramed.muenchen@googlemail.com,
Go ahead,,Studentische Initiative,,,https://www.fachschaft-medizin.de/go-ahead/,"Wir sind eine Hochschulgruppe an der LMU München und Teil des Vereins GoAhead!. Dabei engagieren wir uns zum einen für eine bessere Aufklärung über HIV 
und zum anderen organisieren wir verschiedene Events zum Fundraising unserer Partnerprojekte in Subsahara Afrika.",muenchen@goahead-organisation.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-muenchen/,,,
Mit Sicherheit verliebt (LMU),,Studentische Initiative,,,https://www.sv.tum.de/med/projekte/msv/,,,
Nachwuchsnetzwerk Öffentliche Gesundheit (NÖG),,Studentische Initiative,,,http://noeg.org/,,,
Doktordeutsch ,,Studentische Initiative ,,,https://www.bvmd.de/unsere-arbeit/arbeitsgruppen/ag-medizin-und-menschenrechte/scorp-projekte/,Das Ziel des Projektes DoktorDeutsch ist die kostenlose schriftliche Übersetzung von medizinischen Dokumenten von Asylsuchenden. Die Übersetzungen werden hierbei von Medizinstudenten des klinischen Studienabschnittes erstellt und sollen so einen einfachen Zugang zu essentiellen medizinischen Informationen zum Krankheitsverlauf einer Person ermöglichen.,doktordeutsch@bvmd.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.fsmed-muenster.de/projekte/mit-sicherheit-verliebt/,,muenster@sicher-verliebt.de,
IPPNW Studierendengruppe,,Studentische Initiative,,,https://www.ippnw.de/der-verein/studierende/studierendengruppen/artikel/de/muenster.html,,studis-muenster@ippnw.de,
Malteser Migranten Medizin,,Verein,,,https://www.malteser-muenster.de/dienste-und-leistungen/weitere-dienstleistungen/malteser-medizin-fuer-menschen-ohne-krankenversicherung.html,,sprechstunde@malteser-muenster.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,www.amnesty-muenster-osnabrueck.de/gruppen/hochschulgruppe-1101/,,muenster@amnestystudents.org,
Aufklärung gegen Tabak - Münster,,Verein,,,https://gegentabak.de/universitaet-muenster/,,Muenster@gegentabak.de,
UAEM,,Studentische Initiative ,,,https://medicampus.uni-muenster.de/7345.html,,,
Global Health Studierendengruppe,,Studentische Initiative,,,https://www.uni-regensburg.de/medizin/global-health/index.html,,global.health@ukr.de,
IPPNW Studierendengruppe,,Studentische Initiative,,,https://www.ippnw.de/der-verein/studierende/studierendengruppen/artikel/de/regensburg.html,,,
Migrantenmedizin Regensburg,,Verein,,,http://migramed.de/,,info@migramed.org,
Mit Sicherheit verliebt ,,Studentische Initiative,,,http://fsmed-regensburg.de/arbeitsgruppen/ag-msv-mit-sicherheit-verliebt/,,Regensburg@sicher-verliebt.de,
Aufklärung gegen Tabak,,Verein,,,http://fsmed-regensburg.de/arbeitsgruppen/agt-aufklaerung-gegen-tabak/,,regensburg@gegentabak.de,
Refugee Law Clinic,,Verein,,,https://rlc-regensburg.de,,https://rlc-regensburg.de/kontaktformular/,
Medinetz / IPPNW Studierendengruppe,,Verein ,,,https://www.medinetz-rostock.de/,,info@medinetz-rostock.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://fachschaft.med.uni-rostock.de/projekte/msv/,,rostock@sicher-verliebt.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-rostock/,,,
Rostocker Netzwerk für interkulturellen Austausch in der Medizin,,Studentische Initiative,,,https://fachschaft.med.uni-rostock.de/projekte/ronia-med/,,,
Refugee Law Clinic,,Verein,,,https://www.facebook.com/lawclinicrostock/,"Die ""Rostock Law Clinic for Public and International Law"" (LCR) ist eine Projektinitiative von Studierenden und Professorinnen der Juristischen Fakultät der Universität Rostock. Sie hat sich dem Zeil Verschrieben, Geflüchteten und anderen, die aufgrund ihres aufenthaltsrechtlichen Status rechtliche, administrative oder organisatorische Fragen haben, zu helfen.",lawclinic@uni-rostock.de,
You-Manity ,,Verein,,,http://tuebingen.you-manity.org/,,tuebingen@you-manity.org,
IPPNW Studierendengruppe,,Studentische Initiative,,,https://fachschaftmedizin.de/arbeitskreise/ak-ippnw/,,ippnw.tue@fachschaftmedizin.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://fachschaftmedizin.de/arbeitskreise/msv/,,tuebingen@sicher-verliebt.de,
Wissenshunger,,Studentische Initiative,,,https://fachschaftmedizin.de/arbeitskreise/ak-wissenshunger/,,wissenshunger@fachschaftmedizin.de,
Aufklärung gegen Tabak,,Verein,,,https://fachschaftmedizin.de/arbeitskreise/agt/,"Wir betreiben an Schulen in 7. Und 8. Klassen Aufklärungsarbeit zu Sucht und Tabakkonsum. Dabei setzen wir auf die Kombination aus einer Aulapräsentation und interaktiver Kleingruppenarbeit mit Experimenten und Spielen, um die Jugendlichen auf ihrer Entwicklungsstufe und in ihrer Lebenswirklichkeit zu erreichen.",agt@fachschaftmedizin.de,
Medinetz Tübingen,,Verein,,,http://medinetz-tuebingen.de/,"Das Medinetz Tübingen e.V. ist eine NGO, die Menschen ohne Krankenversicherung und ohne Zugang zum Gesundheitssystem anonym und ohne Kosten an ÄrztInnen/TherapeutInnen bzw. Kliniken vermitteln.",medinetz-tuebingen@posteo.de,
Refugee Law Clinic,,Verein,,,https://lawandlegal.de/refugees/tuebingen-refugee-law-clinic,,https://lawandlegal.de/anfrage,
Medinetz Ulm,,Verein,,,www.medinetz-ulm.de,,kontakt@medinetz-ulm.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.uni-ulm.de/med/med-fs/aktivitaeten/bvmd-mit-sicherheit-verliebt/,,ulm@sicher-verliebt.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://www.amnesty-ulm.de/gruppen/ulm/uni,,ulm@amnestystudents.org ,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://amnesty-uwh.de/,,witten@amnestystudents.org,
Alsalam,,Studentische Initiative,,,https://www.uni-wh.de/studium/studentische-initiativen/studentische-initiative-al-salam/,,,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://de-de.facebook.com/msvwitten/,,witten@sicher-verliebt.de,
L'appel Deutschland e.V.,,Verein,,,https://www.uni-wh.de/studium/studentische-initiativen/lappel-deutschland/,,,
Arbeitsgruppe Medizinische Sprechstunde,,Studentische Initiative,,,https://www.uni-wh.de/studium/studentische-initiativen/arbeitsgruppe-medizinische-sprechstunde/,,,
Gambiadentcare programm,,Studentische Initiative,,,https://www.uni-wh.de/studium/studentische-initiativen/gambiadentcare-programm/,,,
Luthers Waschsalon,,Studentische Initiative,,,https://www.uni-wh.de/studium/studentische-initiativen/luthers-waschsalon/,,,
Weltgesundheit,,Verein,,,https://www.uni-wh.de/studium/studentische-initiativen/weltgesundheit/,,weltgesundheit@gmail.com,
Endulen e.V.,,Studentische Initiative,,,http://www.endulen.de/de/,,info@endulen.de,
Students Health Dialog,,Studentische Initiative,,,https://www.uni-wh.de/studium/studentische-initiativen/students-health-dialogue/,,info@students-health-dialogue.com,
IPPNW Studierendengruppe,,Studentische Initiative,,,https://www.ippnw.de/der-verein/studierende/studierendengruppen/artikel/de/wuerzburg.html,,ippnw-studis-wue@gmx.de,
Studierendeninitiative globalegesundheit ,,Studentische Initiative,,,https://www.facebook.com/globalegesundheit/,,globalegesundheit.anmeldung@gmail.com,
Mit Sicherheit verliebt ,,Verein,,,https://www.med.uni-wuerzburg.de/fachschaft/studentische-initiativen/mit-sicherheit-verliebt/,,msv.wuerzburg@gmail.com,
Medinetz,,Studentische Initiative,,,https://www.medinetz-wuerzburg.de/,,,
Amnesty International Hochschulgruppe,,Verein,,,http://www.amnesty-wuerzburg-studenten.de/Main/UnsereGruppe,,amnesty.hsg.wuerzburg@gmail.com,
Blaupause,,Verein,,,https://www.med.uni-wuerzburg.de/fachschaft/studentische-initiativen/blaupause-wuerzburg/,,wuerzburg@blaupause-gesundheit.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-wuerzburg/,,,
Refugee Law Clinic,,,,,https://www.rlc-wue.de,,info@rlc-wue.de,
KLUG,,,,,https://www.klimawandel-gesundheit.de/,,,
NÖG Nachwuchsnetzwerk öffentliche Gesundheit (mit Lokalgruppen in verschiedenen Städten),,,,,http://noeg.org/,,,
bvmd GandHI,,,,,https://www.bvmd.de/unsere-arbeit/projekte/gandhi/,,,
SCORP bvmd,,,,,https://www.bvmd.de/wer-wir-sind/arbeitsgruppen/ag-medizin-und-menschenrechte/scorp-projekte/,,,
IPPNW,,,,,www.ippnw.de,,,
Medinetz,,,,,,,,
UAEM ,,,,,https://www.facebook.com/UAEMGermany/,,,
Kritische Mediziner*innen,,,,,,,,
Unified for Health,,,,,unifiedforhealth.org,,,
Young Leaders for Health ,,,,,https://www.youngleadersforhealth.org/,,,
bvmd AG Public Health,,,,,https://www.bvmd.de/wer-wir-sind/arbeitsgruppen/ag-public-health/,,,
bvmd AG Medizin und Menschenreche,,,,,https://www.bvmd.de/wer-wir-sind/arbeitsgruppen/ag-medizin-und-menschenrechte/,,,
Deutsche Gesellschaft Public Health Students,,,,,http://www.deutsche-gesellschaft-public-health.de/fachbereiche/studierende/,,studierende@dg-public-health.de,
Aufklärung gegen Tabak ,,,,,https://gegentabak.de/,,,
https://www.bvmd.de/fileadmin/redaktion/.../Flüchtlingsprojekte_21-05-2016.docx,,,,,,,,
Refugee Law Clinics,,,,,https://rlc-deutschland.de,,,
MSV,,,,,https://www.bvmd.de/unsere-arbeit/projekte/mit-sicherheit-verliebt/lokalgruppen/,,,
